Feature,Importance
lag7,0.07665206717530987
weekday_sin,0.06613495374873883
weekday,0.06366256632407245
ratio_lag7_lag30,0.06266781434260603
ratio_lag7_lag14,0.05387266169471317
lag21,0.052438859490515355
ratio_lag1_lag7,0.0498406639280504
is_weekend,0.04855114358855161
lag14,0.037837502821763846
ratio_lag14_lag30,0.035812570127153415
ratio_lag1_lag14,0.030539447844599273
lag2,0.020707631616456182
momentum1,0.018429869498787357
lag60,0.01567087659967213
pct_change_1,0.01551913927420691
ratio_lag1_lag30,0.012425325515725503
rolling7_mean,0.01226882965414621
trend,0.012093954551802035
rolling14_std,0.011325487424457738
trend_squared,0.010338641823066508
range_7,0.009744018349412187
rolling30_mean,0.008971430970616092
rolling7_max,0.008881240298654685
rolling14_max,0.008757758498275661
rolling7_std,0.008601686140107812
volatility_30,0.008530216870267407
rolling14_mean,0.008323371385895355
rolling7_median,0.008079487911322064
month_weekday_interact,0.008024774133376631
week_of_year,0.008024464894460024
pct_change_14,0.007912684149645443
rolling3_std,0.007826948474701974
momentum14,0.007616085146086462
volatility_7,0.007480663510949388
rolling3_max,0.0073280121609284364
lag90,0.007280981446571978
rolling60_mean,0.006914281193140732
rolling30_std,0.006804303216997609
rolling60_std,0.0067795180197866055
weekday_cos,0.006773481512063629
lag30,0.006536446161783714
pct_change_7,0.006383395336879704
pct_change_30,0.006345836691913914
momentum7,0.005970495573885523
ewm_14,0.005867200102075064
momentum30,0.005738922441798273
lag1,0.005676055680034082
lag3,0.00567360904629438
rolling3_median,0.005628044530173484
rolling14_median,0.005543234200844336
month_day_interact,0.00528111057575629
rolling30_max,0.005225479964468821
range_30,0.005212252684847856
day_of_month,0.005194458441922148
rolling3_min,0.005135914001995009
rolling3_mean,0.0050004109428473465
rolling30_median,0.004803295163503953
ewm_7,0.0046990140392158255
day_sin,0.00464938951714141
ewm_30,0.004464220555134055
ewm_3,0.004352216911129635
day_cos,0.004266619695117244
rolling60_max,0.004189024802813085
rolling60_median,0.003994842605289768
month,0.0029446433568078773
month_sin,0.00276008458884759
month_cos,0.0019780509714713203
quarter,0.0009200502028417065
is_month_end,7.226268389920156e-05
is_month_start,4.800320161231264e-05
rolling60_min,0.0
rolling7_min,0.0
rolling14_min,0.0
rolling30_min,0.0
